UNIT_SHORT_M,"m"
UNIT_SHORT_L,"l"
UNIT_SHORT_G,"gr"
UNIT_SHORT_MG,"mg"
UNIT_SHORT_ML,"ml"
UNIT_SHORT_KG,"kg"
UNIT_SHORT_CM,"cm"
UNIT_SHORT_MM,"mm"
UNIT_SHORT_PCS,"Τεμ."
UNIT_SHORT_SQM,"m²"
UNIT_SHORT_IN,"in"
UNIT_SHORT_LBS,"Lbs"
UNIT_IN,"Inch"
UNIT_L,"Liter"
UNIT_G,"Gram (g)"
UNIT_M,"Meter (m)"
UNIT_PCS,"Τεμάχιο (Τεμ.)"
UNIT_LBS,"Pound (lbs)"
UNIT_KG,"Kilogram (kg)"
UNIT_MG,"Milligram (mg)"
UNIT_ML,"Milliliter (ml)"
UNIT_CM,"Centimeter (cm)"
UNIT_MM,"Millimeter (mm)"
UNIT_SQM,"Square meter (m²)"